ea1,ea2
168,41
168,73
168,56
168,169
168,118
168,203
168,592
168,3
168,207
168,568
168,6
168,460
168,153
442,585
442,557
442,492
442,441
442,575
442,364
442,76
442,444
442,240
442,553
442,369
442,273
442,283
442,589
442,517
442,463
442,36
442,163
442,505
442,201
442,91
477,585
262,585
481,356
300,356
300,161
300,600
300,185
411,356
72,538
72,63
72,347
72,540
376,135
376,316
376,337
376,246
376,8
376,106
376,565
376,360
376,154
316,376
316,500
319,98
511,161
511,191
511,42
9,161
377,161
377,543
470,543
470,183
543,182
543,30
543,456
543,233
543,470
543,178
543,377
543,297
543,572
543,0
543,277
543,183
543,84
543,11
543,335
543,117
543,406
543,458
543,199
543,508
543,542
543,189
84,543
11,543
335,543
335,218
335,44
335,505
335,359
335,545
335,172
335,70
335,314
335,553
335,380
335,171
335,370
117,543
406,543
406,191
406,42
508,543
600,297
600,300
600,34
600,74
600,26
600,440
600,192
185,297
185,300
185,191
185,42
185,590
185,503
185,536
185,232
185,183
185,552
185,237
185,409
302,191
302,42
191,591
191,511
191,406
191,302
191,185
191,143
191,497
191,578
191,146
191,478
191,278
191,121
143,191
143,42
497,191
497,42
42,591
42,511
42,406
42,302
42,185
42,143
42,497
42,578
42,146
42,478
42,278
42,121
578,191
578,42
578,39
578,605
578,505
578,289
578,525
578,368
578,31
578,506
146,191
146,42
478,191
478,42
418,369
418,273
418,283
418,589
418,517
361,173
361,379
361,152
361,97
361,31
361,295
361,506
361,540
361,265
361,494
361,126
361,448
361,180
503,301
503,422
503,162
503,467
503,375
503,185
503,259
503,206
503,55
503,39
503,221
503,327
503,58
503,438
503,450
503,545
503,283
503,40
503,286
503,382
503,535
503,408
503,91
503,164
503,362
503,352
503,186
503,544
503,288
503,328
503,80
503,65
379,218
379,315
379,429
379,362
379,361
379,417
379,20
379,259
379,43
379,69
379,564
379,567
379,5
379,102
379,17
379,49
379,283
379,483
379,358
379,455
379,204
379,352
386,218
386,308
386,251
386,315
386,32
386,496
386,326
386,288
218,75
218,379
218,433
218,386
218,474
218,603
218,139
218,270
218,335
218,499
218,181
580,167
580,605
580,21
580,273
580,222
580,97
580,426
580,496
580,154
580,47
580,404
580,565
580,183
393,167
393,605
119,167
119,605
119,252
119,298
119,492
119,515
119,369
119,273
119,283
119,589
119,517
119,271
119,341
119,31
119,496
119,490
119,250
119,150
119,400
119,506
119,384
119,446
276,167
276,605
577,167
577,605
114,167
114,605
76,167
76,605
76,27
76,535
76,343
76,259
76,80
76,283
76,442
76,559
76,434
76,582
76,315
76,329
76,457
76,57
76,574
76,332
76,412
605,603
605,580
605,393
605,119
605,276
605,577
605,114
605,76
605,274
605,92
605,220
605,281
605,578
605,298
605,426
605,243
605,475
605,59
605,34
605,74
605,26
605,440
605,192
605,31
605,506
590,301
590,422
590,162
590,467
590,375
590,185
590,259
590,206
590,55
590,39
590,221
590,327
590,58
590,438
590,450
590,545
590,283
590,40
590,286
590,382
590,535
590,408
536,301
536,422
536,162
536,467
536,375
536,185
536,259
536,206
536,55
536,39
536,221
536,327
536,58
536,438
536,450
536,545
536,283
536,40
536,286
536,382
536,535
536,408
536,463
536,36
536,163
536,505
536,201
536,91
232,301
232,422
232,162
232,467
232,375
232,185
232,259
232,206
232,55
232,39
232,221
232,327
232,58
232,438
232,450
232,545
232,283
232,40
232,286
232,382
232,535
232,408
232,27
232,86
232,67
232,196
301,590
301,503
301,536
301,232
301,183
301,552
301,237
301,409
422,590
422,503
422,536
422,232
422,183
422,552
422,237
422,409
375,590
375,503
375,536
375,232
375,183
375,552
375,237
375,409
259,590
259,503
259,536
259,232
259,183
259,552
259,237
259,409
259,557
259,492
259,441
259,575
259,364
259,76
259,173
259,379
259,152
259,97
259,31
259,295
259,506
259,269
259,363
259,154
259,509
259,57
259,290
259,15
259,252
206,590
206,503
206,536
206,232
206,183
206,552
206,237
206,409
55,590
55,503
55,536
55,232
55,183
55,552
55,237
55,409
39,590
39,503
39,536
39,232
39,183
39,552
39,237
39,409
39,274
39,92
39,220
39,281
39,578
39,298
39,426
39,243
39,475
39,59
221,590
221,503
221,536
221,232
221,183
221,552
221,237
221,409
58,590
58,503
58,536
58,232
58,183
58,552
58,237
58,409
438,590
438,503
438,536
438,232
438,183
438,552
438,237
438,409
450,590
450,503
450,536
450,232
450,183
450,552
450,237
450,409
545,590
545,503
545,536
545,232
545,183
545,552
545,237
545,409
545,269
545,363
545,154
545,509
545,57
545,290
545,15
545,252
545,335
545,587
545,495
545,227
545,321
545,596
545,506
545,601
545,504
545,540
545,320
545,588
545,423
545,383
545,534
545,579
545,570
283,590
283,503
283,536
283,232
283,183
283,552
283,237
283,409
283,557
283,492
283,441
283,575
283,364
283,76
283,360
283,340
283,540
283,571
283,252
283,298
283,515
283,8
283,106
283,565
283,154
283,173
283,379
283,152
283,97
283,31
283,295
283,506
283,141
283,51
283,442
283,293
283,418
283,119
283,602
283,269
283,363
283,509
283,57
283,290
283,15
283,271
283,341
283,496
283,490
283,250
283,150
283,400
283,384
283,446
283,449
283,125
283,32
283,563
283,14
283,255
40,590
40,503
40,536
40,232
40,183
40,552
40,237
40,409
40,495
40,501
40,290
40,298
40,268
40,448
40,565
40,532
40,31
40,506
552,301
552,422
552,162
552,467
552,375
552,185
552,259
552,206
552,55
552,39
552,221
552,327
552,58
552,438
552,450
552,545
552,283
552,40
552,286
552,382
552,535
552,408
237,301
237,422
237,162
237,467
237,375
237,185
237,259
237,206
237,55
237,39
237,221
237,327
237,58
237,438
237,450
237,545
237,283
237,40
237,286
237,382
237,535
237,408
286,590
286,503
286,536
286,232
286,183
286,552
286,237
286,409
409,301
409,422
409,162
409,467
409,375
409,185
409,259
409,206
409,55
409,39
409,221
409,327
409,58
409,438
409,450
409,545
409,283
409,40
409,286
409,382
409,535
409,408
382,590
382,503
382,536
382,232
382,183
382,552
382,237
382,409
535,590
535,503
535,536
535,232
535,183
535,552
535,237
535,409
535,557
535,492
535,441
535,575
535,364
535,76
535,208
535,404
535,46
535,551
535,87
535,78
535,21
535,273
535,222
535,97
535,426
535,496
535,154
535,47
535,565
535,280
535,271
535,341
535,31
535,490
535,250
535,150
535,400
535,506
535,384
535,446
535,252
505,274
505,92
505,220
505,281
505,578
505,298
505,426
505,243
505,475
505,59
505,34
505,74
505,26
505,440
505,192
505,21
505,273
505,222
505,97
505,496
505,154
505,47
505,404
505,565
505,280
505,412
505,538
505,494
505,540
505,31
505,124
505,335
505,587
505,269
505,495
505,227
505,321
505,596
505,506
505,15
505,601
505,504
505,183
505,267
505,443
505,423
505,536
505,173
505,469
